system:index,date,.geo
20200905T032541_20200905T034018_T47NQD,2020-09-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200905T032541_20200905T034018_T47NQE,2020-09-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200910T032539_20200910T033936_T47NQD,2020-09-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200910T032539_20200910T033936_T47NQE,2020-09-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200910T032539_20200910T034711_T47NQD,2020-09-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200910T032539_20200910T034711_T47NQE,2020-09-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200915T032541_20200915T034126_T47NQD,2020-09-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200915T032541_20200915T034126_T47NQE,2020-09-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200920T032539_20200920T033642_T47NQD,2020-09-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200920T032539_20200920T033642_T47NQE,2020-09-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200925T032541_20200925T034127_T47NQD,2020-09-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200925T032541_20200925T034127_T47NQE,2020-09-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200930T032539_20200930T034414_T47NQD,2020-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200930T032539_20200930T034414_T47NQE,2020-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201005T032611_20201005T034318_T47NQD,2020-10-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201005T032611_20201005T034318_T47NQE,2020-10-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201010T032649_20201010T034258_T47NQD,2020-10-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201010T032649_20201010T034258_T47NQE,2020-10-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201015T032721_20201015T033753_T47NQD,2020-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201015T032721_20201015T033753_T47NQE,2020-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201020T032749_20201020T033914_T47NQD,2020-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201020T032749_20201020T033914_T47NQE,2020-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201025T032821_20201025T033942_T47NQD,2020-10-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201025T032821_20201025T033942_T47NQE,2020-10-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201030T032859_20201030T033631_T47NQD,2020-10-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201030T032859_20201030T033631_T47NQE,2020-10-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201104T032921_20201104T034237_T47NQD,2020-11-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201104T032921_20201104T034237_T47NQE,2020-11-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201109T032949_20201109T033934_T47NQD,2020-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201109T032949_20201109T033934_T47NQE,2020-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201114T033011_20201114T033914_T47NQD,2020-11-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201114T033011_20201114T033914_T47NQE,2020-11-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201119T033029_20201119T034646_T47NQD,2020-11-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201119T033029_20201119T034646_T47NQE,2020-11-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201124T033051_20201124T034444_T47NQD,2020-11-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201124T033051_20201124T034444_T47NQE,2020-11-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
