system:index,date,no2,.geo
20200305T065105_20200305T073529,2020-03-05,1.3900467004181492E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200305T065605_20200305T073733,2020-03-05,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200306T063105_20200306T071605,2020-03-06,7.934831880914565E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200306T063605_20200306T071703,2020-03-06,7.428374994791768E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200307T061605_20200307T065801,2020-03-07,8.4065735077961E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200308T055605_20200308T064149,2020-03-08,4.6700165088565394E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200308T073605_20200308T082009,2020-03-08,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200309T071605_20200309T075950,2020-03-09,5.182202575798764E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200309T072105_20200309T080328,2020-03-09,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200310T065605_20200310T074121,2020-03-10,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200310T070105_20200310T074244,2020-03-10,4.8656461825134575E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200311T064105_20200311T115423,2020-03-11,5.212140311712409E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200312T061955_20200312T070322,2020-03-12,4.14559293535866E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200313T055955_20200313T064607,2020-03-13,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200313T060455_20200313T064722,2020-03-13,4.3404590831216166E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200314T054455_20200314T062718,2020-03-14,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200315T070350_20200315T074626,2020-03-15,5.4037709177932515E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200315T070850_20200315T075122,2020-03-15,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200316T064350_20200316T072804,2020-03-16,4.141053825958175E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200316T064850_20200316T072916,2020-03-16,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200317T062850_20200317T071136,2020-03-17,5.534509255924243E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200318T060850_20200318T065454,2020-03-18,5.9080629749627E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200319T054850_20200319T063423,2020-03-19,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200319T072850_20200319T081538,2020-03-19,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200320T053350_20200320T061620,2020-03-20,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200320T070850_20200320T075506,2020-03-20,8.228990471333325E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200320T071350_20200320T075603,2020-03-20,8.238370401387264E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200321T065350_20200321T073917,2020-03-21,5.6841024898361496E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200322T063350_20200322T071752,2020-03-22,5.813153602059845E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200323T061350_20200323T065930,2020-03-23,7.631697580760493E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200324T055350_20200324T063910,2020-03-24,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200324T055850_20200324T064003,2020-03-24,4.5407870595837575E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200325T053850_20200325T062334,2020-03-25,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200325T071850_20200325T080212,2020-03-25,5.6266502480739525E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200326T065850_20200326T074401,2020-03-26,4.2787480213816597E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200327T063850_20200327T072321,2020-03-27,4.027295594550336E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200328T061850_20200328T070357,2020-03-28,3.975627311149241E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200328T062350_20200328T070720,2020-03-28,3.968609418300809E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200329T055850_20200329T064410,2020-03-29,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200329T060350_20200329T064707,2020-03-29,4.3741080417023626E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200330T054350_20200330T062845,2020-03-30,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200330T072350_20200330T080915,2020-03-30,5.3120140380537476E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200331T070350_20200331T074817,2020-03-31,4.2453690898652954E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200331T070850_20200331T075315,2020-03-31,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200401T064350_20200401T072845,2020-04-01,5.640612942949435E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200401T064850_20200401T073037,2020-04-01,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200402T062850_20200402T071257,2020-04-02,3.8205891424711686E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200403T060850_20200403T064836,2020-04-03,4.650172402931886E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200404T072948_20200404T081211,2020-04-04,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200405T070948_20200405T075504,2020-04-05,7.2471134153791E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200405T071448_20200405T075533,2020-04-05,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200406T064948_20200406T073622,2020-04-06,4.636654162154972E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200406T065448_20200406T073653,2020-04-06,4.701949974313545E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200407T063448_20200407T071749,2020-04-07,5.924741177231507E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200408T061448_20200408T065816,2020-04-08,8.310491000601593E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200409T055448_20200409T064007,2020-04-09,5.0381029343878704E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200409T073448_20200409T081857,2020-04-09,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200410T053948_20200410T062300,2020-04-10,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200410T071948_20200410T080139,2020-04-10,4.950042507433996E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200411T065948_20200411T074248,2020-04-11,6.192768757266796E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200412T063948_20200412T072405,2020-04-12,5.1456753475704284E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200413T061948_20200413T070323,2020-04-13,8.981954929785285E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200414T055948_20200414T064641,2020-04-14,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200414T060448_20200414T064750,2020-04-14,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200415T054448_20200415T062934,2020-04-15,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200415T072448_20200415T080725,2020-04-15,5.603005425396031E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200416T070448_20200416T074811,2020-04-16,5.4622890309091424E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200417T064448_20200417T072910,2020-04-17,5.456568168729377E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200417T064948_20200417T073022,2020-04-17,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200418T062448_20200418T071151,2020-04-18,5.991857822310694E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200418T062948_20200418T071202,2020-04-18,6.124431390041525E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200419T060948_20200419T065403,2020-04-19,5.1558789823688836E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200420T054948_20200420T063400,2020-04-20,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200420T072948_20200420T081349,2020-04-20,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200421T070948_20200421T075513,2020-04-21,4.211692181611354E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200421T071448_20200421T075556,2020-04-21,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200422T064948_20200422T073404,2020-04-22,6.127133925023618E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200422T065448_20200422T073459,2020-04-22,5.9669136691311726E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200423T063448_20200423T071849,2020-04-23,6.048083093927098E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200424T061448_20200424T065820,2020-04-24,5.662785831302121E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200425T055448_20200425T063921,2020-04-25,5.024251581870252E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200425T073448_20200425T081939,2020-04-25,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200426T053948_20200426T062151,2020-04-26,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200426T071948_20200426T080253,2020-04-26,5.5788657397195154E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200427T065948_20200427T074150,2020-04-27,5.734854470845808E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200428T063948_20200428T072312,2020-04-28,5.42570205438314E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200429T061948_20200429T070401,2020-04-29,5.5792274260215664E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200430T055948_20200430T064652,2020-04-30,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200430T060448_20200430T064721,2020-04-30,5.460319086562781E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200501T054448_20200501T062858,2020-05-01,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200501T072448_20200501T080800,2020-05-01,5.324931279089726E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200502T070448_20200502T075103,2020-05-02,3.887125715569409E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200503T064448_20200503T072830,2020-05-03,5.8362546301116453E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200503T064948_20200503T073220,2020-05-03,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200504T062448_20200504T071112,2020-05-04,5.664405860255411E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200504T062948_20200504T071218,2020-05-04,5.587208744589309E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200505T060948_20200505T065302,2020-05-05,4.336548069863668E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200506T055139_20200506T063437,2020-05-06,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200506T073139_20200506T081420,2020-05-06,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200507T071139_20200507T075620,2020-05-07,5.6198052955509064E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200508T065139_20200508T073918,2020-05-08,4.4445676651437205E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200509T063139_20200509T071613,2020-05-09,8.017779692181904E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200509T063639_20200509T071651,2020-05-09,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200510T061139_20200510T065356,2020-05-10,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200510T061639_20200510T065819,2020-05-10,5.3398737675774956E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200511T055639_20200511T064121,2020-05-11,6.388483816980304E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200511T073639_20200511T081940,2020-05-11,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200512T071639_20200512T080408,2020-05-12,8.402447395901884E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200513T065639_20200513T074131,2020-05-13,6.564084872100166E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200513T070139_20200513T074201,2020-05-13,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200514T064139_20200514T072328,2020-05-14,6.833558545125138E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200515T062139_20200515T070528,2020-05-15,1.1100053267846713E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200516T060139_20200516T064714,2020-05-16,6.755791622104451E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200517T072139_20200517T080635,2020-05-17,9.468134164071636E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200517T072639_20200517T081106,2020-05-17,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200518T070318_20200518T075048,2020-05-18,7.629134914492439E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200518T070818_20200518T075200,2020-05-18,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200519T064318_20200519T073035,2020-05-19,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200519T064818_20200519T073159,2020-05-19,7.556879042261571E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200520T062818_20200520T071136,2020-05-20,1.0744280452110427E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200521T060818_20200521T065505,2020-05-21,6.420876400016319E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200522T054818_20200522T063358,2020-05-22,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200522T072818_20200522T081231,2020-05-22,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200523T071318_20200523T075621,2020-05-23,7.878386885337519E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200524T065318_20200524T073855,2020-05-24,7.18114900882335E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
