system:index,date,.geo
20200905T055909_20200905T064425,2020-09-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200905T060409_20200905T064750,2020-09-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200906T054409_20200906T062657,2020-09-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200906T072409_20200906T080646,2020-09-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200907T070409_20200907T074733,2020-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200908T064409_20200908T072938,2020-09-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200908T064909_20200908T073033,2020-09-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200909T062409_20200909T071023,2020-09-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200909T062909_20200909T071104,2020-09-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200910T060909_20200910T065206,2020-09-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200911T054909_20200911T063353,2020-09-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200911T072909_20200911T081355,2020-09-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200912T070909_20200912T075532,2020-09-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200912T071409_20200912T075559,2020-09-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200913T064909_20200913T073431,2020-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200913T065409_20200913T073547,2020-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200914T063409_20200914T071801,2020-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200915T061329_20200915T065709,2020-09-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200916T055329_20200916T063911,2020-09-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200916T055829_20200916T064033,2020-09-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200916T073329_20200916T081915,2020-09-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200917T053829_20200917T062159,2020-09-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200917T071829_20200917T080039,2020-09-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200918T065829_20200918T074220,2020-09-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200919T063829_20200919T072427,2020-09-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200920T061829_20200920T070537,2020-09-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200920T062329_20200920T070645,2020-09-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200921T055829_20200921T064455,2020-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200921T060329_20200921T064917,2020-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200922T054329_20200922T062721,2020-09-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200922T072329_20200922T080721,2020-09-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200923T070337_20200923T075201,2020-09-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200924T064337_20200924T072939,2020-09-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200924T064837_20200924T073043,2020-09-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200925T062337_20200925T071204,2020-09-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200925T062837_20200925T071307,2020-09-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200926T060837_20200926T065352,2020-09-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200927T054837_20200927T063318,2020-09-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200927T072837_20200927T081425,2020-09-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200928T070837_20200928T075445,2020-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200928T071337_20200928T075626,2020-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200929T065337_20200929T073648,2020-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200930T063337_20200930T071826,2020-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201001T061337_20201001T070000,2020-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201002T055437_20201002T064022,2020-10-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201002T073437_20201002T082238,2020-10-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201003T071437_20201003T080120,2020-10-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201003T071937_20201003T080245,2020-10-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201004T065937_20201004T074152,2020-10-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201005T063937_20201005T072331,2020-10-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201006T061937_20201006T070943,2020-10-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201007T055937_20201007T064600,2020-10-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201007T060437_20201007T064731,2020-10-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201008T054437_20201008T062900,2020-10-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201008T072437_20201008T081233,2020-10-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201009T070437_20201009T075102,2020-10-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201010T064437_20201010T073211,2020-10-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201011T062437_20201011T071245,2020-10-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201011T062937_20201011T071359,2020-10-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201012T060437_20201012T065049,2020-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201012T060937_20201012T065553,2020-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201013T054937_20201013T063507,2020-10-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
