date,no2
2019-03-05,6.12631867563446e-05
2019-03-06,6.574958060128252e-05
2019-03-06,
2019-03-06,
2019-03-07,
2019-03-07,5.432427888955125e-05
2019-03-08,5.19098769066242e-05
2019-03-09,0.00010289703196156295
2019-03-10,
2019-03-10,8.597146112275078e-05
2019-03-11,5.6404841773172e-05
2019-03-12,
2019-03-12,4.6633647954316015e-05
2019-03-13,5.844940831393731e-05
2019-03-13,
2019-03-14,
2019-03-14,6.212891626978169e-05
2019-03-15,6.524364994242864e-05
2019-03-16,6.000980326050461e-05
2019-03-17,
2019-03-17,
2019-03-18,4.9914960353855504e-05
2019-03-19,5.844143832228951e-05
2019-03-20,7.168890829841053e-05
2019-03-21,
2019-03-22,
2019-03-22,6.229060954967136e-05
2019-03-23,6.650053244060482e-05
2019-03-24,5.19614528542499e-05
2019-03-25,5.90370114785488e-05
2019-03-25,
2019-03-26,
2019-03-26,7.490648919116542e-05
2019-03-27,5.302634403108266e-05
2019-03-29,5.856778584401768e-05
2019-03-29,
2019-03-30,6.294510627373843e-05
2019-03-30,5.355703948057531e-05
2019-03-31,5.519466201421289e-05
2019-04-01,4.87123797886408e-05
2019-04-02,
2019-04-02,
2019-04-03,8.543761766905078e-05
2019-04-03,
2019-04-04,5.486572359504727e-05
2019-04-05,6.045453314555835e-05
2019-04-05,
2019-04-06,
2019-04-06,5.428459619650605e-05
2019-04-07,6.0297472508753386e-05
2019-04-07,
2019-04-08,8.6238734921191e-05
2019-04-08,
2019-04-09,8.8973418115964e-05
2019-04-09,
2019-04-10,5.436741986990102e-05
2019-04-11,5.107923881382533e-05
2019-04-12,5.217554372130969e-05
2019-04-12,
2019-04-13,5.457707662864594e-05
2019-04-13,
2019-04-14,7.445528278334636e-05
2019-04-16,0.00011393872333528714
2019-04-17,0.00010194246470023128
2019-04-17,
2019-04-18,
2019-04-18,
2019-04-19,7.335665741359045e-05
2019-04-20,4.760640477679934e-05
2019-04-21,8.843983803124466e-05
2019-04-21,
2019-04-22,
2019-04-22,8.669802120267022e-05
2019-04-23,4.979523771231935e-05
2019-04-23,
2019-04-24,5.2249640529391226e-05
2019-04-25,6.362899255534685e-05
2019-04-25,
2019-04-26,6.585801155069334e-05
2019-04-27,6.399771152920023e-05
2019-04-28,5.378830725510389e-05
2019-04-29,4.475683208732083e-05
2019-04-30,6.058383969182385e-05
2019-04-30,
2019-05-01,
2019-05-01,7.3015193180721e-05
2019-05-02,4.914518687038892e-05
2019-05-03,5.165928249309848e-05
2019-05-04,
2019-05-04,
2019-05-05,5.158761023258145e-05
2019-05-06,5.9158699027887486e-05
2019-05-07,3.992237706583771e-05
2019-05-08,4.8382021705927744e-05
2019-05-09,
2019-05-09,3.954540853286262e-05
2019-05-10,5.9323392374871785e-05
2019-05-11,8.047076948168854e-05
2019-05-12,5.3915751209123065e-05
2019-05-12,
2019-05-13,
2019-05-13,5.4328086938617166e-05
2019-05-14,6.885400612950397e-05
2019-05-15,
2019-05-15,7.518628570413249e-05
2019-05-16,6.677544899319714e-05
2019-05-16,
2019-05-17,5.8205882793898464e-05
2019-05-17,5.794832569768317e-05
2019-05-18,5.090317949673822e-05
2019-05-19,6.136896355202936e-05
2019-05-20,
2019-05-20,
2019-05-21,
2019-05-21,6.751088380055854e-05
2019-05-22,8.627396766886961e-05
2019-05-23,8.980736557915677e-05
2019-05-24,8.94238269814165e-05
2019-09-05,5.162986104757934e-05
2019-09-05,
2019-09-06,
2019-09-06,4.951508623778699e-05
2019-09-07,5.097970986134822e-05
2019-09-08,0.00011424488217112604
2019-09-09,
2019-09-09,5.081627766748652e-05
2019-09-10,5.168339987985536e-05
2019-09-11,0.0001309963841688673
2019-09-12,5.9579067025845926e-05
2019-09-13,4.898394409240376e-05
2019-09-14,
2019-09-14,4.549804183246359e-05
2019-09-15,5.321559510457218e-05
2019-09-16,7.861098060727052e-05
2019-09-17,8.190183243351329e-05
2019-09-17,
2019-09-18,
2019-09-18,0.00013528994468746297
2019-09-19,9.705584190951273e-05
2019-09-20,7.257044837485208e-05
2019-09-21,6.208467642031085e-05
2019-09-21,
2019-09-22,
2019-09-22,6.639669972499656e-05
2019-09-23,5.27850188120394e-05
2019-09-24,3.858161698375937e-05
2019-09-25,
2019-09-25,7.50285344712227e-05
2019-09-26,5.2227983801444335e-05
2019-09-27,7.205191201315755e-05
2019-09-28,5.619568299134613e-05
2019-09-29,2.705998629836519e-05
2019-09-30,
2019-09-30,3.349934003479709e-05
2019-10-01,6.134257388049686e-05
2019-10-02,6.987274110062528e-05
2019-10-03,3.695096632515128e-05
2019-10-03,
2019-10-04,
2019-10-04,5.704787441607678e-05
2019-10-05,5.3128425112356975e-05
2019-10-06,6.14208477387151e-05
2019-10-07,
2019-10-07,
2019-10-08,
2019-10-08,
2019-10-09,0.000103399343982334
2019-10-10,5.685333453726e-05
2019-10-11,
2019-10-11,6.596114777352931e-05
2019-10-12,6.375534384921924e-05
2019-10-13,5.037504006270599e-05
2019-10-14,5.880029622374982e-05
2019-10-15,6.07376787108881e-05
2019-10-16,
2019-10-16,7.131393096846139e-05
2019-10-17,7.523243292946631e-05
2019-10-18,6.240082767871032e-05
2019-10-19,5.059260736135469e-05
2019-10-19,
2019-10-20,
2019-10-20,5.554476312106052e-05
2019-10-21,
2019-10-21,4.035586108309213e-05
2019-10-22,
2019-10-22,4.175245840939992e-05
2019-10-23,3.965918477351775e-05
2019-10-24,4.636776747259959e-05
2019-10-24,
2019-10-25,5.346234888537723e-05
2019-10-25,5.410275277894981e-05
2019-10-26,8.296422223525957e-05
2019-10-27,
2019-10-27,4.168564134912692e-05
2019-10-28,4.483672963765019e-05
2019-10-28,
2019-10-29,6.160873452201732e-05
2019-10-29,6.173174270517225e-05
2019-10-30,3.934036736607881e-05
2019-10-31,4.919082441097723e-05
2019-11-01,4.515350154201927e-05
2019-11-01,
2019-11-02,5.1878551552420056e-05
2019-11-03,4.105803681007439e-05
2019-11-03,
2019-11-04,
2019-11-04,0.00010154667688766496
2019-11-05,4.951451046508737e-05
2019-11-06,5.98668299116554e-05
2019-11-07,8.172183152055368e-05
2019-11-07,
2019-11-08,
2019-11-08,5.546781257819255e-05
2019-11-09,5.892320085084388e-05
2019-11-10,4.151933227979193e-05
2019-11-11,8.541510225616742e-05
2019-11-12,
2019-11-12,
2019-11-13,6.62435113214087e-05
2019-11-13,
2019-11-14,8.006514780624473e-05
2019-11-14,
2019-11-15,
2019-11-16,4.59211509958862e-05
2019-11-17,4.977000718058528e-05
2019-11-17,
2019-11-18,8.055445419282533e-05
2019-11-18,
2019-11-19,5.30339465761809e-05
2019-11-20,3.964850170936893e-05
2019-11-21,4.160732843036559e-05
2019-11-22,4.910544268364115e-05
2019-11-22,
2019-11-22,
2019-11-24,4.584700117175552e-05
2020-03-05,0.00013900467004181492
2020-03-05,
2020-03-06,7.934831880914565e-05
2020-03-06,7.428374994791768e-05
2020-03-07,8.4065735077961e-05
2020-03-08,4.6700165088565394e-05
2020-03-08,
2020-03-09,5.182202575798764e-05
2020-03-09,
2020-03-10,
2020-03-10,4.8656461825134575e-05
2020-03-11,5.212140311712409e-05
2020-03-12,4.14559293535866e-05
2020-03-13,
2020-03-13,4.3404590831216166e-05
2020-03-14,
2020-03-15,5.403770917793252e-05
2020-03-15,
2020-03-16,4.141053825958175e-05
2020-03-16,
2020-03-17,5.534509255924243e-05
2020-03-18,5.9080629749627e-05
2020-03-19,
2020-03-19,
2020-03-20,
2020-03-20,8.228990471333325e-05
2020-03-20,8.238370401387264e-05
2020-03-21,5.6841024898361496e-05
2020-03-22,5.813153602059845e-05
2020-03-23,7.631697580760493e-05
2020-03-24,
2020-03-24,4.5407870595837575e-05
2020-03-25,
2020-03-25,5.6266502480739525e-05
2020-03-26,4.27874802138166e-05
2020-03-27,4.027295594550336e-05
2020-03-28,3.975627311149241e-05
2020-03-28,3.968609418300809e-05
2020-03-29,
2020-03-29,4.3741080417023626e-05
2020-03-30,
